Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E09000001,City of London,782,788,871,907,941,939,968,"1,008","1,038","1,040","1,028","1,056","1,053","1,030",999,933,942,903,906,933,939
E09000002,Barking and Dagenham,425,527,499,532,498,537,534,611,592,584,621,583,579,564,572,584,594,460,484,492,460
E09000003,Barnet,400,457,453,408,448,444,477,521,507,526,504,514,518,495,496,483,480,464,473,442,444
E09000004,Bexley,393,426,445,455,453,470,477,345,502,481,474,461,474,480,419,433,397,430,429,458,448
E09000005,Brent,444,463,467,512,506,492,523,535,551,577,543,535,551,493,466,452,460,456,498,502,460
E09000006,Bromley,322,298,285,295,257,259,301,350,466,479,460,468,467,444,453,443,428,412,476,448,435
E09000007,Camden,579,598,611,646,686,690,716,724,710,726,701,751,734,730,694,676,655,630,636,646,631
E09000008,Croydon,449,468,475,499,503,509,517,533,494,535,510,531,537,546,505,520,498,482,473,518,513
E09000009,Ealing,499,503,522,529,536,562,576,591,586,569,579,586,576,565,520,529,507,465,494,487,484
E09000010,Enfield,422,434,431,482,510,500,508,583,505,517,530,473,512,485,471,462,439,407,444,442,421
E09000011,Greenwich,441,452,469,459,482,479,514,518,565,536,569,528,545,563,506,499,491,480,481,460,492
E09000012,Hackney,572,629,620,594,614,579,605,619,652,672,629,663,654,673,605,570,549,524,522,553,543
E09000013,Hammersmith and Fulham,586,562,603,622,649,696,706,696,684,671,682,722,711,665,668,627,577,588,581,607,607
E09000014,Haringey,442,408,466,487,475,476,500,509,517,524,546,520,516,531,470,502,511,477,494,475,460
E09000015,Harrow,450,489,471,464,501,510,503,543,516,523,499,510,508,418,413,437,348,332,378,472,416
E09000016,Havering,294,302,258,259,254,263,292,316,472,464,472,496,492,479,463,451,462,438,432,485,444
E09000017,Hillingdon,527,551,517,536,577,557,595,637,654,596,662,651,641,646,595,576,600,561,567,543,539
E09000018,Hounslow,514,512,535,568,555,586,602,601,619,578,604,579,628,621,593,558,525,550,597,609,576
E09000019,Islington,595,594,645,694,706,809,796,714,698,745,741,755,751,690,697,680,680,633,645,696,672
E09000020,Kensington and Chelsea,471,518,512,565,579,612,592,569,551,541,574,597,588,581,549,556,522,493,535,497,540
E09000021,Kingston upon Thames,427,470,436,464,478,487,508,517,473,534,521,492,528,509,487,492,480,463,454,499,486
E09000022,Lambeth,560,583,592,603,619,600,613,646,623,653,663,657,683,667,648,641,615,619,605,590,607
E09000023,Lewisham,457,434,492,506,495,502,503,536,518,531,529,510,580,527,475,461,488,459,482,504,488
E09000024,Merton,396,472,465,463,492,461,467,504,535,493,494,446,443,512,483,493,467,455,463,480,479
E09000025,Newham,479,481,459,512,514,519,557,603,593,558,568,580,597,583,515,488,474,457,463,466,451
E09000026,Redbridge,402,393,419,435,457,463,463,455,478,508,549,536,525,477,483,419,460,448,447,456,356
E09000027,Richmond upon Thames,451,460,516,517,501,491,526,579,558,547,562,588,562,568,509,514,502,473,504,518,504
E09000028,Southwark,558,557,570,618,759,780,781,700,688,707,691,677,682,676,655,654,636,623,664,650,642
E09000029,Sutton,495,440,451,457,488,518,549,534,496,526,550,512,482,466,451,453,483,410,449,436,445
E09000030,Tower Hamlets,626,658,688,722,783,745,837,905,887,879,921,939,923,885,882,831,863,841,795,771,814
E09000031,Waltham Forest,402,440,458,451,461,467,489,474,444,486,516,495,513,486,472,473,398,374,395,397,432
E09000032,Wandsworth,475,496,501,544,533,556,590,595,584,583,592,587,597,586,553,499,499,498,521,512,549
E09000033,Westminster,597,595,616,640,672,703,680,724,717,711,738,751,734,728,682,661,642,639,653,662,691
,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,365,360,365,381,386,391,395,406,412,416,422,424,431,425,405,399,397,401,407,414,417
E12000002,North West,382,386,391,403,408,425,429,442,439,446,454,455,446,436,410,405,405,404,412,426,423
E12000003,Yorkshire and The Humber,359,369,383,392,403,414,424,434,430,432,437,442,436,433,408,405,402,396,403,413,408
E12000004,East Midlands,374,377,383,390,403,419,429,433,434,444,438,448,450,438,413,406,402,399,400,410,409
E12000005,West Midlands,379,392,395,407,421,426,432,439,437,447,443,444,447,435,409,406,410,397,413,424,424
E12000006,East,396,406,412,426,439,441,453,460,456,461,457,460,461,450,428,417,424,412,415,433,433
E12000007,London,526,536,548,569,591,604,628,642,645,646,653,658,660,652,622,614,595,582,591,594,599
E12000008,South East,412,427,439,453,472,488,490,501,483,493,496,502,497,483,465,461,446,447,461,472,466
E12000009,South West,362,372,374,387,399,410,420,427,423,438,442,444,441,429,401,394,397,390,401,414,414
,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,351,361,362,377,379,393,395,412,422,419,416,423,425,410,392,387,383,374,393,404,410
S92000003,Scotland,375,380,392,401,413,418,428,433,437,447,456,459,460,454,430,423,428,427,435,443,442
W92000004,Wales,371,370,376,389,389,396,406,425,417,428,419,420,425,421,400,388,395,390,395,414,406
E92000001,England,403,412,417,432,446,456,464,474,469,477,482,484,482,473,448,442,441,434,442,454,454
K04000001,England and Wales,401,410,418,429,444,453,461,471,467,475,478,481,479,470,445,439,438,432,439,453,451
,,,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain,398,407,415,426,440,451,458,466,463,472,476,478,477,468,444,437,437,432,439,452,450
K02000001,United Kingdom,396,406,414,425,438,449,456,466,462,471,474,476,475,466,442,435,435,430,438,450,449